,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_max_steps,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,17.577986860275267,0.22788812124528268,0.5008467674255371,0.07081887293388565,relu,0.01,32,"(100,)",0.001,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.001, 'max_steps': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,,,,1
1,33.251310443878175,0.033009821022356355,0.49822702407836916,0.016491794247846716,relu,0.01,32,"(100,)",0.001,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.001, 'max_steps': 2000}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,,,,1
2,15.79894037246704,1.5523449639369622,0.2107689380645752,0.23561235624119703,relu,0.01,32,"(100,)",0.01,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.01, 'max_steps': 1000}",0.99,0.98,0.98,1.0,0.98,0.986,0.008000000000000007,15,,,,,,,,1
3,28.973569011688234,1.046097197144017,0.01627955436706543,0.008593540482939215,relu,0.01,32,"(100,)",0.01,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.01, 'max_steps': 2000}",0.99,0.98,0.99,1.0,0.98,0.9879999999999999,0.007483314773547889,13,,,,,,,,1
4,7.404750061035156,3.3470747058521053,0.017723274230957032,0.010279651990968308,relu,0.01,32,"(100,)",0.1,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.1, 'max_steps': 1000}",0.95,0.97,0.94,0.98,0.93,0.954,0.018547236990991395,21,,,,,,,,1
5,7.2064752101898195,3.7187168963327273,0.019917821884155272,0.004677452042399054,relu,0.01,32,"(100,)",0.1,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.1, 'max_steps': 2000}",0.95,0.97,0.94,0.98,0.93,0.954,0.018547236990991395,21,,,,,,,,1
6,16.510378694534303,0.6485807278825295,0.21108512878417968,0.0260340555654429,relu,0.01,32,"(50, 50)",0.001,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.001, 'max_steps': 1000}",1.0,0.98,0.99,1.0,0.99,0.992,0.007483314773547889,9,,,,,,,,1
7,29.51682472229004,0.14136248673889623,0.2498270034790039,0.014440333490364346,relu,0.01,32,"(50, 50)",0.001,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.001, 'max_steps': 2000}",1.0,0.98,1.0,1.0,0.99,0.994,0.008000000000000007,5,,,,,,,,1
8,14.157965230941773,1.5686745370749144,0.1170426368713379,0.11944055356154513,relu,0.01,32,"(50, 50)",0.01,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.01, 'max_steps': 1000}",0.97,0.96,0.99,0.98,0.91,0.962,0.027856776554368225,17,,,,,,,,1
9,27.093827056884766,0.40063413920217367,0.019016075134277343,0.006284163342036683,relu,0.01,32,"(50, 50)",0.01,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.01, 'max_steps': 2000}",0.97,0.96,0.99,0.98,0.91,0.962,0.027856776554368225,17,,,,,,,,1
10,5.732250928878784,1.7494251026014846,0.02168121337890625,0.0058500021888840525,relu,0.01,32,"(50, 50)",0.1,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.1, 'max_steps': 1000}",0.57,0.5,0.72,0.46,0.53,0.556,0.08957678270623474,45,,,,,,,,1
11,5.610646295547485,1.7510848102177348,0.022585725784301756,0.007192491848012148,relu,0.01,32,"(50, 50)",0.1,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.1, 'max_steps': 2000}",0.57,0.5,0.72,0.46,0.53,0.556,0.08957678270623474,45,,,,,,,,1
12,20.58297929763794,0.5670225264500282,0.24232940673828124,0.04741833783681208,relu,0.01,32,"(100, 50, 25)",0.001,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.001, 'max_steps': 1000}",1.0,0.99,0.99,0.99,0.98,0.9899999999999999,0.006324555320336764,11,,,,,,,,1
13,41.56561794281006,0.3422409841520117,0.26735773086547854,0.03638418485245337,relu,0.01,32,"(100, 50, 25)",0.001,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.001, 'max_steps': 2000}",1.0,0.99,1.0,0.99,0.98,0.9920000000000002,0.007483314773547889,7,,,,,,,,1
14,18.27658019065857,5.864616706472798,0.1286619186401367,0.12087866135356624,relu,0.01,32,"(100, 50, 25)",0.01,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.01, 'max_steps': 1000}",0.96,0.94,0.98,0.96,0.89,0.946,0.03072458299147442,27,,,,,,,,1
15,29.767367696762086,11.890651008897065,0.028339576721191407,0.00657271259098583,relu,0.01,32,"(100, 50, 25)",0.01,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.01, 'max_steps': 2000}",0.96,0.96,0.98,0.96,0.89,0.95,0.03098386676965932,25,,,,,,,,1
16,9.46294617652893,2.742658365492285,0.03868570327758789,0.011233712160775712,relu,0.01,32,"(100, 50, 25)",0.1,1000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.1, 'max_steps': 1000}",0.45,0.49,0.84,0.54,0.53,0.57,0.1387083270751976,41,,,,,,,,1
17,9.604864358901978,2.7251650413670894,0.03515605926513672,0.003160448074211322,relu,0.01,32,"(100, 50, 25)",0.1,2000,"{'activation': 'relu', 'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 0.1, 'max_steps': 2000}",0.45,0.49,0.84,0.54,0.53,0.57,0.1387083270751976,41,,,,,,,,1
18,14.649162340164185,0.05861012439851124,0.028278017044067384,0.011622556809885613,relu,0.001,32,"(100,)",0.001,1000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.001, 'max_steps': 1000}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,,,,1
19,30.550623750686647,0.16773014728349908,0.024077463150024413,0.007700708537546696,relu,0.001,32,"(100,)",0.001,2000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.001, 'max_steps': 2000}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,,,,1
20,14.721109533309937,0.0975856453577638,0.026277637481689452,0.005803291325748134,relu,0.001,32,"(100,)",0.01,1000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.01, 'max_steps': 1000}",0.99,0.98,0.98,1.0,0.98,0.986,0.008000000000000007,15,,,,,,,,1
21,29.84985156059265,0.5483934991603626,0.01607656478881836,0.005315627119648639,relu,0.001,32,"(100,)",0.01,2000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.01, 'max_steps': 2000}",0.99,0.98,0.99,1.0,0.98,0.9879999999999999,0.007483314773547889,13,,,,,,,,1
22,7.600789403915405,3.7905606923550423,0.019723272323608397,0.0075613672400392145,relu,0.001,32,"(100,)",0.1,1000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.1, 'max_steps': 1000}",0.95,0.97,0.94,0.98,0.93,0.954,0.018547236990991395,21,,,,,,,,1
23,7.796075391769409,3.8504489995639095,0.012489604949951171,0.0041061418007090995,relu,0.001,32,"(100,)",0.1,2000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate': 0.1, 'max_steps': 2000}",0.95,0.97,0.94,0.98,0.93,0.954,0.018547236990991395,21,,,,,,,,1
24,14.168665313720703,0.579471191556871,0.0236661434173584,0.007975022147372899,relu,0.001,32,"(50, 50)",0.001,1000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.001, 'max_steps': 1000}",1.0,0.98,0.99,1.0,0.99,0.992,0.007483314773547889,9,,,,,,,,1
25,27.50314803123474,0.2809792710390442,0.021242666244506835,0.006464128212028062,relu,0.001,32,"(50, 50)",0.001,2000,"{'activation': 'relu', 'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 50), 'learning_rate': 0.001, 'max_steps': 2000}",1.0,0.98,1.0,1.0,0.99,0.994,0.008000000000000007,5,,,,,,,,1
