,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.3203907489776611,0.012081565616091763,0.0,0.0,8,0.001,"{'batch_size': 8, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
1,0.3219780921936035,0.014935814342854235,0.0,0.0,8,0.01,"{'batch_size': 8, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
2,0.13113508224487305,0.15938379615240897,0.0,0.0,8,0.1,"{'batch_size': 8, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
3,0.0012004375457763672,0.0004000667451531725,0.0,0.0,8,1.0,"{'batch_size': 8, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
4,0.0012004375457763672,0.00040030495051187237,0.0,0.0,16,0.001,"{'batch_size': 16, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
5,0.0018001079559326171,0.0003994944272617622,0.0,0.0,16,0.01,"{'batch_size': 16, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
6,0.001400136947631836,0.0004897651438975313,0.0,0.0,16,0.1,"{'batch_size': 16, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
7,0.0014007568359375,0.0004895526986101349,0.0,0.0,16,1.0,"{'batch_size': 16, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
8,2.8705793380737306,0.32722402003421863,0.17710771560668945,0.03050747222524503,32,0.001,"{'batch_size': 32, 'learning_rate': 0.001}",0.4583333333333333,0.5833333333333334,0.5833333333333334,0.375,0.7083333333333334,0.5416666666666667,0.1148670729340852,6,,,,,,,,1
9,2.4835846424102783,0.13847325640688218,0.16557483673095702,0.029244582914778976,32,0.01,"{'batch_size': 32, 'learning_rate': 0.01}",0.5416666666666666,0.625,0.625,0.4166666666666667,0.7083333333333334,0.5833333333333333,0.09860132971832694,2,,,,,,,,1
10,1.8033909797668457,0.8286141884097316,0.09490394592285156,0.11343032361650765,32,0.1,"{'batch_size': 32, 'learning_rate': 0.1}",0.5416666666666666,0.5833333333333334,0.5416666666666666,0.5,0.6666666666666666,0.5666666666666667,0.0565194165260439,3,,,,,,,,1
11,1.4484021663665771,0.30430295834103704,0.002200460433959961,0.0003997808137464148,32,1.0,"{'batch_size': 32, 'learning_rate': 1.0}",0.5,0.4166666666666667,0.5833333333333334,0.4583333333333333,0.75,0.5416666666666666,0.11785113019775792,7,,,,,,,,1
12,2.954642391204834,0.8113007441740435,0.002201700210571289,0.0003991805922397384,64,0.001,"{'batch_size': 64, 'learning_rate': 0.001}",0.4583333333333333,0.5833333333333334,0.5833333333333334,0.375,0.75,0.55,0.12747548783981963,4,,,,,,,,1
13,1.8758445262908936,0.09280373091783911,0.0020017623901367188,0.0006315921374473697,64,0.01,"{'batch_size': 64, 'learning_rate': 0.01}",0.5,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.625,0.55,0.06123724356957947,4,,,,,,,,1
14,1.6047001361846924,0.36311962080603344,0.002000570297241211,5.223489356090222e-07,64,0.1,"{'batch_size': 64, 'learning_rate': 0.1}",0.5833333333333334,0.5,0.5416666666666666,0.6666666666666666,0.6666666666666666,0.5916666666666666,0.06666666666666665,1,,,,,,,,1
15,1.3502585887908936,0.18773739448889218,0.001400136947631836,0.0004894733452181437,64,1.0,"{'batch_size': 64, 'learning_rate': 1.0}",0.4583333333333333,0.4583333333333333,0.3333333333333333,0.5416666666666666,0.625,0.4833333333333333,0.097182531580755,8,,,,,,,,1
