,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.03136677742004394,0.004222638774615849,0.0052126884460449215,0.0035880336647058815,0.7,0.01,3,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.7}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
1,0.03360781669616699,0.002172230816400179,0.005027675628662109,1.434051583770213e-05,0.7,0.01,3,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
2,0.032329130172729495,0.006372919095835365,0.006030750274658203,0.0009015258070877065,0.7,0.01,3,150,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.9}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
3,0.05534219741821289,0.0037841264455168483,0.0033103466033935548,0.0029325016359132037,0.7,0.01,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",0.2916666666666667,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.3166666666666667,0.0565194165260439,92,,,,,,,,1
4,0.05959086418151856,0.004459084483806386,0.0048297405242919925,0.0018176374155814484,0.7,0.01,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.2916666666666667,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.3166666666666667,0.0565194165260439,92,,,,,,,,1
5,0.05744624137878418,0.0034031976450046653,0.0046154499053955075,0.0025826060193601987,0.7,0.01,3,300,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.2916666666666667,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.3166666666666667,0.0565194165260439,92,,,,,,,,1
6,0.03241043090820313,0.004830708607440695,0.0030178070068359376,0.002464089396157897,0.7,0.01,5,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
7,0.035110998153686526,0.004502098088822845,0.0074536800384521484,0.005888020683239913,0.7,0.01,5,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.8}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
8,0.03790316581726074,0.0045885694916345384,0.004924392700195313,0.0001949232266911421,0.7,0.01,5,150,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.9}",0.3333333333333333,0.2916666666666667,0.25,0.375,0.4166666666666667,0.33333333333333337,0.05892556509887896,53,,,,,,,,1
9,0.05808048248291016,0.007832050630345911,0.004018211364746093,0.0020091314061097456,0.7,0.01,5,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",0.2916666666666667,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.3166666666666667,0.0565194165260439,92,,,,,,,,1
10,0.06360816955566406,0.0039980851980878475,0.002110147476196289,0.002589618236872132,0.7,0.01,5,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.2916666666666667,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.3166666666666667,0.0565194165260439,92,,,,,,,,1
11,0.06338024139404297,0.004881836974867671,0.004418420791625977,0.0023384558838745245,0.7,0.01,5,300,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.9}",0.2916666666666667,0.2916666666666667,0.25,0.375,0.4166666666666667,0.32500000000000007,0.06123724356957946,57,,,,,,,,1
12,0.032538223266601565,0.001980261806801119,0.004619169235229492,0.0035039236371699773,0.7,0.01,7,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.7}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
13,0.037143373489379884,0.0027586694508905294,0.002209329605102539,0.0019448305119794368,0.7,0.01,7,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.8}",0.3333333333333333,0.2916666666666667,0.25,0.3333333333333333,0.4166666666666667,0.325,0.055277079839256664,67,,,,,,,,1
14,0.03735427856445313,0.0031990615113413868,0.002008199691772461,0.0024595435989807814,0.7,0.01,7,150,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 150, 'subsample': 0.9}",0.3333333333333333,0.2916666666666667,0.25,0.375,0.4166666666666667,0.33333333333333337,0.05892556509887896,53,,,,,,,,1
