,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.3141634464263916,0.02441277788040291,0.0,0.0,8,0.001,"{'batch_size': 8, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
1,0.34861140251159667,0.016910441409627597,0.0,0.0,8,0.01,"{'batch_size': 8, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
2,0.1462644100189209,0.17629063817128143,0.0,0.0,8,0.1,"{'batch_size': 8, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
3,0.001800394058227539,0.0004003549769279491,0.0,0.0,8,1.0,"{'batch_size': 8, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
4,0.001800680160522461,0.0007486853096247594,0.0,0.0,16,0.001,"{'batch_size': 16, 'learning_rate': 0.001}",,,,,,,,9,,,,,,,,1
5,0.002525520324707031,0.0006736235413568923,0.0,0.0,16,0.01,"{'batch_size': 16, 'learning_rate': 0.01}",,,,,,,,9,,,,,,,,1
6,0.001800870895385742,0.0004001266322719469,0.0,0.0,16,0.1,"{'batch_size': 16, 'learning_rate': 0.1}",,,,,,,,9,,,,,,,,1
7,0.0021035194396972655,0.0004856292877724888,0.0,0.0,16,1.0,"{'batch_size': 16, 'learning_rate': 1.0}",,,,,,,,9,,,,,,,,1
8,2.941543388366699,0.42614029853420393,0.14011702537536622,0.032785537966350184,32,0.001,"{'batch_size': 32, 'learning_rate': 0.001}",0.5,0.47,0.56,0.52,0.48,0.506,0.03200000000000003,6,,,,,,,,1
9,2.862436389923096,0.10952911886012286,0.10769128799438477,0.020674602082984186,32,0.01,"{'batch_size': 32, 'learning_rate': 0.01}",0.52,0.56,0.6,0.53,0.49,0.54,0.03741657386773941,2,,,,,,,,1
10,1.6219053268432617,0.6315231731749655,0.0511199951171875,0.0628235100041084,32,0.1,"{'batch_size': 32, 'learning_rate': 0.1}",0.52,0.5,0.6,0.54,0.43,0.518,0.05528109984434101,3,,,,,,,,1
11,1.0139158248901368,0.03118122453924486,0.001999950408935547,5.56082906231432e-07,32,1.0,"{'batch_size': 32, 'learning_rate': 1.0}",0.41,0.52,0.4,0.51,0.6,0.488,0.07467261881037787,7,,,,,,,,1
12,3.374857711791992,0.4568218519187672,0.0026004791259765627,0.0007997993421363206,64,0.001,"{'batch_size': 64, 'learning_rate': 0.001}",0.5,0.46,0.56,0.55,0.48,0.51,0.03898717737923588,5,,,,,,,,1
13,2.6636977672576903,0.5389008296195615,0.002298736572265625,0.00045308532824107087,64,0.01,"{'batch_size': 64, 'learning_rate': 0.01}",0.56,0.55,0.52,0.54,0.56,0.546,0.014966629547095779,1,,,,,,,,1
14,1.7055597305297852,0.4175410302323248,0.0017998695373535156,0.0003998518949700413,64,0.1,"{'batch_size': 64, 'learning_rate': 0.1}",0.57,0.47,0.52,0.49,0.52,0.514,0.03382306905057552,4,,,,,,,,1
15,1.1910903930664063,0.12251008656466766,0.0012005329132080077,0.000400139076847381,64,1.0,"{'batch_size': 64, 'learning_rate': 1.0}",0.46,0.46,0.49,0.52,0.49,0.484,0.022449944320643647,8,,,,,,,,1
