,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.03450770378112793,0.003484434312393763,0.005780935287475586,0.0019951000894693287,0.7,0.01,3,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.7}",0.4583333333333333,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4833333333333333,0.04999999999999998,1,,,,,,,,1
1,0.035536003112792966,0.005335191143476805,0.004927921295166016,0.0037291761346654032,0.7,0.01,3,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.8}",0.4583333333333333,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4833333333333333,0.04999999999999998,1,,,,,,,,1
2,0.030197525024414064,0.004749951955776377,0.004782438278198242,0.0026491115740171654,0.7,0.01,3,150,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.9}",0.4166666666666667,0.375,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4666666666666667,0.06666666666666665,94,,,,,,,,1
3,0.05606875419616699,0.003129227393334119,0.0036157608032226563,0.00314595436437407,0.7,0.01,3,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.7}",0.4166666666666667,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.475,0.05651941652604388,9,,,,,,,,1
4,0.05590786933898926,0.005950803269405157,0.004910039901733399,0.004013582476146507,0.7,0.01,3,300,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.4166666666666667,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.475,0.05651941652604388,9,,,,,,,,1
5,0.06080098152160644,0.0032377059273064833,0.0014183521270751953,0.001840715947658322,0.7,0.01,3,300,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",0.4166666666666667,0.375,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4666666666666667,0.06666666666666665,94,,,,,,,,1
6,0.029262304306030273,0.0055240863261081736,0.003528928756713867,0.003031816499328018,0.7,0.01,5,150,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.7}",0.4583333333333333,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4833333333333333,0.04999999999999998,1,,,,,,,,1
7,0.025244474411010742,0.006014256936769925,0.005739068984985352,0.004685930203948895,0.7,0.01,5,150,0.8,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.8}",0.4166666666666667,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.475,0.05651941652604388,9,,,,,,,,1
8,0.031678056716918944,0.0013490786700972746,0.0023119449615478516,0.00286951233681439,0.7,0.01,5,150,0.9,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 150, 'subsample': 0.9}",0.4166666666666667,0.375,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.4666666666666667,0.06666666666666665,94,,,,,,,,1
9,0.05599970817565918,0.007496877835332099,0.005230998992919922,0.00040491144961132076,0.7,0.01,5,300,0.7,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.7}",0.4166666666666667,0.4166666666666667,0.5416666666666666,0.4583333333333333,0.5416666666666666,0.475,0.05651941652604388,9,,,,,,,,1
